TargetName,JJ93.|.001.|.tumor,JJ93.|.001.|.CD45,JJ93.|.002.|.Ki67+.tumor,JJ93.|.002.|.tumor,JJ93.|.002.|.CD45,JJ93.|.003.|.Ki67+.tumor,JJ93.|.003.|.tumor,JJ93.|.003.|.CD45,JJ93.|.004.|.tumor,JJ93.|.004.|.CD45,JJ93.|.005.|.tumor,JJ93.|.005.|.CD45,JJ98.|.001.|.Ki67+.tumor,JJ98.|.001.|.tumor,JJ98.|.001.|.CD45,JJ98.|.002.|.Ki67+.tumor,JJ98.|.002.|.tumor,JJ98.|.002.|.CD45,JJ98.|.003.|.Ki67+.tumor,JJ98.|.003.|.tumor,JJ98.|.003.|.CD45,JJ98.|.004.|.tumor,JJ98.|.005.|.tumor,JJ98.|.006.|.tumor
KIR2DS2,34,8,1,9,2,4,8,1,15,9,13,3,3,13,17,2,19,4,6,25,33,6,4,3
KIR3DL1,85,4,16,69,4,17,37,3,62,11,42,1,50,43,43,13,124,16,20,78,72,68,29,7
KIRREL1,38,4,4,20,3,3,9,3,12,3,22,2,12,17,16,5,45,8,6,23,33,16,12,3
KIRREL2,26,9,5,14,2,1,10,3,10,4,18,2,6,6,18,1,18,1,3,19,19,10,5,1
KIRREL3,25,5,5,15,5,3,9,4,20,4,12,4,5,17,18,3,16,4,3,10,26,9,11,1
KISS1,24,9,3,8,1,1,10,1,14,1,7,1,4,9,14,1,12,4,1,8,24,6,6,2
KISS1R,16,7,2,15,1,2,7,2,13,4,9,1,4,10,13,1,17,6,2,16,20,6,4,2
KIT,30,6,5,24,2,4,11,3,10,2,14,3,9,8,11,3,34,3,4,14,32,14,8,3
KITLG,86,6,12,35,6,14,18,5,20,7,48,1,13,8,33,7,37,8,9,28,51,5,6,3
KIZ,74,7,5,48,7,6,33,5,45,6,38,2,13,26,14,1,29,6,11,25,40,7,10,2
KL,19,2,3,5,3,1,5,2,12,5,4,1,5,9,13,2,16,3,7,14,17,7,4,4
KLB,31,5,4,18,2,2,9,2,13,2,11,1,7,11,14,1,24,4,2,14,23,7,5,1
KLC1,112,4,16,55,16,15,43,9,67,15,57,11,37,66,70,11,119,21,14,95,78,12,5,2
KLC2,39,3,3,24,1,4,13,2,29,4,13,2,21,23,30,4,51,12,6,30,39,11,14,4
KLC3,26,7,5,12,1,3,7,2,12,5,10,1,8,20,21,1,28,9,2,26,30,14,7,3
KLC4,34,5,4,18,7,5,11,5,21,2,15,1,4,5,12,2,22,2,3,18,18,7,4,1
KLF1,54,6,3,28,2,2,14,3,17,10,22,2,16,12,28,2,34,10,6,14,38,15,17,2
KLF10,48,4,3,20,3,3,10,4,19,4,11,1,11,23,30,9,74,15,13,34,51,10,4,1
KLF11,22,6,3,13,3,3,5,1,14,5,14,1,8,10,23,3,19,11,5,24,40,8,9,3
KLF12,59,9,7,26,4,7,21,4,18,6,29,1,17,20,29,5,22,6,9,31,29,7,5,1
KLF13,61,7,4,29,5,7,18,5,36,10,21,2,29,23,47,5,73,13,5,45,53,8,7,2
KLF14,18,6,1,14,1,2,4,2,11,3,13,1,7,8,11,3,17,6,2,13,33,5,6,4
KLF15,66,6,3,40,2,5,14,1,30,11,44,1,8,15,14,5,27,7,4,20,22,10,12,3
KLF16,69,10,13,36,4,5,21,4,34,11,40,6,20,23,31,4,57,12,5,36,51,44,22,4
KLF17,15,6,1,12,4,2,4,4,7,2,7,1,4,3,17,1,23,3,1,15,19,15,7,2
KLF18,14,1,1,9,2,2,6,1,4,1,4,1,8,6,10,1,10,2,2,11,26,12,3,1
KLF2,49,10,7,36,7,6,27,4,38,13,30,4,9,12,25,4,32,10,1,30,49,20,17,1
KLF3,45,11,6,22,5,9,20,9,25,6,26,1,14,16,45,5,55,16,5,33,66,7,5,1
KLF4,25,9,2,18,5,4,7,1,16,5,12,1,6,8,20,1,28,7,2,17,31,7,5,2
KLF5,27,2,1,8,3,5,4,2,11,2,8,1,6,4,13,3,14,4,2,10,15,8,10,2
KLF6,47,13,7,32,6,10,16,9,30,14,23,4,23,36,77,9,129,51,7,58,112,10,3,2
KLF7,39,5,8,20,3,6,15,3,20,6,16,2,15,14,24,6,32,5,3,22,32,13,10,1
KLF8,22,3,3,15,2,6,7,1,15,2,10,2,4,11,9,2,20,7,2,11,19,4,8,3
KLF9,43,11,5,16,10,1,15,6,16,8,21,2,5,10,27,6,47,15,3,32,46,7,3,3
KLHDC1,56,10,5,30,6,8,21,3,28,6,22,3,15,12,23,1,36,5,4,30,40,6,3,4
