TargetName,JJ93.|.001.|.tumor,JJ93.|.001.|.CD45,JJ93.|.002.|.Ki67+.tumor,JJ93.|.002.|.tumor,JJ93.|.002.|.CD45,JJ93.|.003.|.Ki67+.tumor,JJ93.|.003.|.tumor,JJ93.|.003.|.CD45,JJ93.|.004.|.tumor,JJ93.|.004.|.CD45,JJ93.|.005.|.tumor,JJ93.|.005.|.CD45,JJ98.|.001.|.Ki67+.tumor,JJ98.|.001.|.tumor,JJ98.|.001.|.CD45,JJ98.|.002.|.Ki67+.tumor,JJ98.|.002.|.tumor,JJ98.|.002.|.CD45,JJ98.|.003.|.Ki67+.tumor,JJ98.|.003.|.tumor,JJ98.|.003.|.CD45,JJ98.|.004.|.tumor,JJ98.|.005.|.tumor,JJ98.|.006.|.tumor
EFNB3,61,13,9,31,3,9,18,5,26,4,27,1,13,11,33,4,44,23,2,58,95,8,18,2
EFR3A,32,7,5,14,2,10,13,2,18,9,23,1,18,9,29,4,32,13,3,41,42,6,6,3
EFR3B,68,10,10,47,7,7,25,3,35,15,41,3,12,29,22,9,39,8,3,36,40,9,7,1
EFS,96,2,7,53,3,13,29,3,49,2,39,3,35,37,29,5,56,5,9,23,44,7,9,1
EFTUD2,59,6,8,23,5,8,21,1,31,5,19,2,29,29,39,11,73,21,11,57,71,7,9,2
EGF,35,7,4,25,3,1,16,4,14,5,11,1,12,11,35,2,23,7,4,24,51,10,14,1
EGFL6,20,2,2,18,1,2,9,1,8,3,7,2,5,5,10,2,11,3,1,13,18,4,2,1
EGFL7,74,9,4,31,9,4,34,7,37,6,32,3,13,16,16,3,37,12,7,30,30,16,12,3
EGFL8,32,6,5,30,3,2,13,2,22,3,27,4,3,13,10,4,30,10,3,21,20,8,9,2
EGFLAM,21,6,4,14,4,2,6,1,10,3,7,1,6,3,13,2,11,5,2,13,20,11,11,3
EGFR,164,13,16,81,6,21,33,3,32,9,99,4,3,9,11,6,19,3,3,28,29,3,8,3
EGLN1,70,4,6,26,7,11,17,4,30,9,33,4,15,16,24,5,37,10,11,31,48,12,11,1
EGLN2,25,6,2,10,2,6,6,2,13,7,9,1,15,12,34,6,34,6,5,23,39,6,5,1
EGLN3,41,9,5,8,1,4,3,2,17,7,18,1,14,11,12,3,25,8,5,23,31,4,4,2
EGR1,42,7,6,19,12,4,15,7,30,9,18,2,32,41,102,53,602,113,83,583,880,19,25,4
EGR2,19,8,5,10,1,3,3,1,8,1,8,2,6,9,13,1,17,3,3,18,85,6,10,1
EGR3,14,4,2,13,2,3,7,1,10,3,10,1,4,8,18,2,12,6,5,32,94,6,3,2
EGR4,27,5,3,8,2,2,9,1,13,3,13,2,3,3,7,2,9,5,7,24,20,7,7,1
EHBP1,37,3,1,30,8,4,8,1,16,9,20,3,11,23,21,4,54,6,9,22,41,1,5,1
EHBP1L1,30,4,2,16,1,1,11,5,15,13,8,4,7,8,31,2,26,5,4,24,49,6,4,2
EHD1,32,7,4,17,5,6,10,3,11,9,17,3,14,19,19,5,24,10,3,24,24,7,10,3
EHD2,15,4,2,6,1,1,3,2,12,4,8,2,11,7,30,4,34,6,3,32,33,11,11,1
EHD3,55,7,6,26,9,1,13,1,15,3,28,9,9,13,22,6,23,5,2,15,40,10,4,2
EHD4,17,7,2,12,2,2,7,2,15,1,11,4,8,10,23,2,10,6,1,22,33,11,3,1
EHF,21,3,4,7,1,4,4,1,10,3,9,3,9,5,13,1,15,9,1,10,33,6,6,1
EHHADH,23,4,1,9,3,1,14,3,5,5,2,1,6,5,11,3,16,3,1,14,20,7,6,2
EHMT1,45,8,5,29,7,6,17,1,39,9,40,3,29,29,27,11,64,11,8,51,48,11,11,2
EHMT2,37,2,5,19,5,9,20,1,22,5,19,3,19,26,26,2,30,9,10,23,38,7,1,3
EI24,57,12,5,42,7,6,22,6,26,9,30,4,15,24,33,5,51,12,13,32,41,14,8,1
EID1,147,19,20,81,14,26,56,12,49,19,39,5,39,43,98,8,57,27,8,71,137,25,16,1
EID2,23,3,1,11,5,2,19,4,17,4,15,1,15,15,25,5,27,9,3,23,31,12,4,7
EID2B,29,9,1,16,5,3,8,4,10,4,13,1,7,12,12,1,27,3,4,19,26,10,6,1
EID3,26,1,2,16,2,1,15,1,20,4,24,2,11,19,24,3,26,3,5,26,29,7,4,1
EIF1,322,35,35,138,29,46,129,33,160,38,134,12,98,95,167,25,302,83,40,186,317,20,11,1
EIF1AD,40,5,6,15,2,2,15,1,19,3,16,1,6,11,12,2,24,9,6,21,24,10,2,2
EIF1AX,105,10,8,51,8,7,21,7,26,11,42,5,31,45,65,15,63,24,14,51,83,12,9,2
EIF1AY,12,10,2,4,4,5,5,4,6,4,6,2,22,19,41,9,28,14,5,18,39,8,7,2
EIF1B,46,11,8,22,6,2,14,8,27,6,29,4,23,19,42,6,39,12,13,38,60,9,9,1
EIF2A,55,4,3,27,8,10,26,2,29,7,29,1,13,12,24,4,28,8,7,26,42,5,4,1
EIF2AK1,65,13,11,40,5,18,22,5,42,11,30,5,40,38,50,25,116,21,22,89,92,15,11,4
EIF2AK2,58,2,8,38,4,7,14,6,14,9,18,3,25,24,51,3,40,11,6,44,54,8,4,4
EIF2AK3,36,7,7,15,4,4,12,1,15,6,22,5,5,13,24,5,33,6,8,21,38,7,2,1
EIF2AK4,35,5,5,17,3,4,10,1,14,5,15,2,8,10,15,1,13,6,2,16,33,4,3,1
EIF2B1,83,6,8,67,9,10,32,6,32,4,39,5,34,31,36,11,60,11,17,33,46,5,6,4
EIF2B2,42,4,4,15,3,4,10,1,12,3,23,3,15,14,25,3,37,3,4,20,36,11,6,3
EIF2B3,27,3,3,5,1,1,8,4,16,3,10,2,16,13,24,5,29,3,5,26,31,4,6,2
EIF2B4,50,7,6,23,5,3,10,1,28,7,24,1,14,28,20,9,42,5,6,40,33,7,6,1
EIF2B5,74,4,4,34,7,2,18,2,29,9,31,5,13,26,24,7,41,13,7,27,32,9,3,1
EIF2D,28,4,3,10,2,6,10,1,12,8,15,1,7,8,13,1,13,6,2,28,26,3,1,1
EIF2S1,46,9,4,23,4,4,24,7,18,12,14,1,31,28,44,6,49,11,16,29,82,11,4,2
EIF2S2,71,9,3,31,5,7,22,8,28,14,23,6,30,41,40,9,79,19,13,50,86,19,11,4
EIF2S3,72,6,11,34,12,14,26,5,43,5,46,3,26,37,36,9,40,15,7,42,66,8,5,1
EIF2S3B,190,14,14,90,17,26,85,11,96,24,83,7,39,55,77,8,97,29,17,97,136,14,8,2
EIF3A,161,14,11,83,8,12,41,15,58,16,81,8,48,65,104,13,91,26,21,82,115,28,27,6
EIF3B,102,5,9,68,2,16,29,7,45,18,46,1,24,32,49,6,93,22,12,76,90,12,3,1
EIF3C,292,21,44,143,18,33,103,19,147,35,137,10,102,111,176,24,208,46,24,106,218,60,32,3
EIF3D,86,14,8,45,10,12,31,6,39,15,43,2,19,22,52,5,54,15,8,50,78,10,4,2
EIF3E,209,15,25,111,14,22,58,19,68,16,103,9,44,37,71,8,78,38,14,60,122,6,8,2
EIF3F,219,23,25,107,21,21,62,21,82,27,96,5,37,39,80,13,79,35,19,54,136,10,8,6
EIF3G,151,13,22,64,14,13,31,14,60,26,50,8,63,64,93,8,120,25,18,96,150,13,14,2
EIF3H,177,18,19,54,17,24,56,13,65,31,73,9,40,30,92,10,87,37,12,57,120,5,10,1
EIF3I,58,11,5,35,9,6,16,6,21,10,20,3,12,21,40,6,62,16,12,35,101,9,5,1
EIF3J,43,7,10,31,5,6,23,8,36,12,24,4,18,23,36,4,35,14,7,27,46,15,8,2
EIF3K,61,15,11,35,16,9,23,7,37,14,41,6,40,32,76,18,83,34,16,73,139,9,8,2
EIF3L,239,30,21,131,20,45,66,24,106,37,120,4,33,40,70,8,84,24,17,72,114,15,5,2
EIF3M,74,6,14,46,4,10,21,6,26,10,37,3,14,20,41,6,29,15,8,26,76,13,8,1
EIF4A1,271,32,33,130,24,48,78,27,127,43,107,10,73,87,192,13,88,84,24,91,269,17,12,5
EIF4A2,168,10,17,86,26,16,58,10,88,28,78,13,44,54,61,8,114,21,14,60,109,20,8,1
EIF4A3,75,7,5,27,11,13,16,5,28,11,26,5,31,26,66,8,55,22,8,39,73,10,10,3
EIF4B,396,33,33,216,36,48,117,30,169,43,160,14,71,73,135,12,141,57,16,95,184,21,16,4
EIF4E,66,6,8,41,9,5,18,2,39,8,16,8,30,39,55,12,65,16,11,46,56,10,5,5
EIF4E1B,26,4,2,12,2,2,2,1,11,4,11,1,13,8,13,4,14,7,1,6,17,17,3,1
EIF4E2,48,5,3,20,5,7,22,5,23,6,26,1,19,19,33,9,45,21,11,45,59,7,5,1
EIF4E3,26,8,4,15,3,3,6,1,11,5,11,2,3,14,15,3,22,9,4,15,21,6,5,1
EIF4EBP1,62,5,2,31,4,4,10,2,20,6,18,1,18,16,33,6,34,20,8,28,56,12,8,1
EIF4EBP2,63,8,6,33,7,6,17,8,33,10,13,4,35,18,41,5,27,9,6,30,58,9,3,1
EIF4EBP3,35,5,7,19,5,5,8,1,19,11,15,3,9,14,22,3,29,8,2,23,34,19,8,1
EIF4ENIF1,49,7,4,18,1,6,8,3,24,5,27,2,7,13,18,1,28,8,3,28,36,8,6,2
EIF4G1,114,16,9,55,11,12,37,8,41,16,53,3,46,70,93,8,100,24,21,108,143,35,21,1
EIF4G2,224,21,32,127,15,38,86,25,99,29,104,12,86,71,161,14,127,54,27,72,215,10,10,1
EIF4G3,89,5,3,36,4,11,21,1,51,4,37,2,54,63,61,15,88,24,13,74,93,9,5,1
EIF4H,130,14,13,76,9,15,30,11,49,15,37,8,49,43,101,15,136,29,30,91,151,10,11,2
EIF5,82,7,15,58,9,11,27,8,56,18,38,2,41,39,83,6,81,23,14,51,120,16,5,4
EIF5A,200,23,15,103,20,31,60,25,83,22,70,6,53,57,126,11,70,60,14,67,179,21,18,4
EIF5A2,24,3,2,13,8,8,11,3,19,4,6,2,9,10,14,3,15,5,5,13,20,6,2,1
EIF5AL1,40,3,8,13,5,1,8,3,16,5,12,3,12,4,16,2,10,6,1,19,32,5,8,2
EIF5B,45,4,4,26,3,6,10,1,24,7,26,3,12,15,29,3,36,8,2,26,38,4,4,4
EIF6,54,4,8,31,4,5,16,4,23,14,21,1,12,28,26,4,59,18,8,37,55,10,8,1
EIPR1,48,5,2,15,2,6,10,2,14,4,25,1,18,11,20,4,23,6,5,19,23,12,5,1
ELAC1,39,6,2,17,6,1,12,3,12,6,10,1,5,10,16,5,26,10,1,15,34,5,4,1
ELAC2,48,8,10,23,6,5,10,6,39,9,19,4,9,15,28,3,33,9,5,28,43,5,7,4
ELANE,14,4,1,11,1,3,4,2,11,2,7,1,8,8,12,2,13,1,2,11,22,8,11,3
ELAPOR1,21,9,1,10,3,1,4,2,7,4,12,3,9,10,13,2,11,6,1,9,24,12,4,1
ELAPOR2,30,6,4,13,6,5,13,4,16,9,19,3,10,11,23,2,36,12,2,13,21,11,6,1
ELAVL1,52,4,3,37,7,3,28,1,33,7,25,4,45,33,41,11,51,12,12,56,79,14,9,2
ELAVL2,32,3,2,13,5,2,7,2,9,6,9,1,2,3,9,1,9,3,1,6,17,2,5,2
ELAVL3,182,8,20,94,7,19,58,13,72,5,69,9,30,43,34,6,44,11,15,35,50,14,16,7
ELAVL4,52,1,2,21,3,4,16,1,17,6,19,1,5,7,14,1,15,4,4,19,23,3,8,2
ELF1,29,9,6,19,4,2,12,2,15,11,9,3,21,15,30,1,54,12,3,26,75,6,1,2
ELF2,54,4,9,30,2,10,15,3,33,6,29,1,38,27,39,7,61,12,7,34,51,5,4,3
ELF3,31,1,4,12,6,1,6,1,7,1,7,4,8,5,7,2,14,4,5,16,14,9,12,2
ELF4,16,2,1,6,4,2,8,1,5,6,8,1,3,6,15,1,9,2,1,11,22,3,4,1
ELF5,17,1,5,13,2,5,6,2,10,4,13,1,10,7,14,2,17,2,1,12,20,4,5,4
ELFN1,13,4,2,9,3,1,3,1,15,3,12,2,11,16,21,1,26,5,7,17,23,8,14,4
ELFN2,102,6,7,49,6,7,28,4,53,8,40,2,27,18,21,1,23,4,1,25,26,14,10,1
ELK1,150,10,18,89,11,16,62,9,74,10,57,3,34,59,54,12,89,9,20,70,71,17,16,3
ELK3,24,5,1,24,3,6,10,4,21,7,17,1,13,18,31,3,33,12,3,23,38,9,8,2
ELK4,58,6,3,32,8,6,19,3,18,6,31,3,20,21,42,3,54,18,8,26,55,6,3,2
ELL,33,6,6,28,1,5,15,4,25,8,18,1,14,21,27,6,31,7,4,25,45,14,16,1
ELL2,49,12,3,20,4,5,11,7,33,11,19,5,15,18,44,5,62,17,2,33,123,15,7,3
ELL3,19,1,3,11,1,4,6,1,12,4,5,1,6,9,11,1,13,3,2,14,17,8,4,1
ELMO1,118,8,24,57,6,7,31,5,45,8,82,4,24,51,64,7,59,16,6,29,71,23,11,1
ELMO2,33,5,4,19,6,9,18,4,28,10,18,4,15,16,38,7,57,12,7,50,45,14,11,2
ELMO3,23,6,1,13,3,3,14,3,9,7,9,1,8,7,12,1,10,3,2,18,27,5,6,3
ELMOD1,26,8,1,18,2,4,11,1,8,5,8,3,8,20,22,2,32,2,5,14,19,5,3,1
ELMOD2,45,4,3,37,6,7,17,2,22,6,18,1,22,17,26,4,43,13,5,39,35,7,7,1
ELMOD3,30,8,4,15,1,3,8,2,19,6,14,3,10,10,19,1,26,7,3,28,26,11,5,3
ELN,63,4,6,22,4,3,19,5,31,6,22,1,22,29,28,60,203,24,28,100,69,19,29,3
ELOA,44,6,6,24,3,3,14,5,15,5,20,5,14,19,20,2,41,11,5,30,49,8,6,6
ELOA2,62,5,11,42,2,8,15,2,42,5,37,2,29,39,36,13,85,17,18,46,52,79,38,8
ELOA3P,56,4,5,25,1,6,22,3,28,2,16,3,29,23,19,5,56,6,6,36,40,55,58,7
ELOB,221,25,16,87,23,20,74,22,94,38,81,7,109,103,183,31,283,76,27,165,352,37,17,7
ELOC,111,7,17,53,14,15,51,14,73,11,54,5,47,48,89,10,132,26,19,93,136,24,16,4
ELOF1,46,7,3,21,2,4,22,4,28,8,20,3,19,20,29,4,38,9,4,18,48,16,8,2
ELOVL1,23,8,5,15,4,4,9,5,26,3,8,2,24,45,43,3,44,8,3,26,49,7,5,1
ELOVL2,28,3,1,20,4,3,8,1,15,4,9,1,8,6,18,2,19,8,2,12,28,5,5,1
ELOVL3,30,4,4,16,1,4,9,2,15,7,8,1,3,17,23,1,12,4,3,13,21,7,5,1
ELOVL4,27,7,5,11,3,3,4,2,14,4,18,3,5,12,9,2,21,4,3,8,20,6,5,1
ELOVL5,182,14,25,103,13,25,94,5,150,22,94,4,80,121,101,21,215,20,34,160,113,244,182,18
ELOVL6,25,6,7,18,1,2,13,4,13,3,13,1,11,19,18,2,14,7,2,9,18,8,8,1
ELOVL7,19,3,1,11,2,1,7,1,18,4,8,1,7,6,18,2,12,4,3,15,16,8,3,3
ELP1,64,7,10,45,4,13,16,9,34,9,22,1,23,19,23,6,39,7,6,37,42,7,5,3
ELP2,62,4,15,43,4,9,14,5,45,10,32,1,22,14,22,3,39,7,7,24,29,6,7,2
ELP3,51,9,5,24,7,6,17,2,24,5,25,1,13,16,22,3,49,7,7,34,47,2,5,1
ELP4,27,2,3,7,1,1,6,2,14,1,17,2,7,13,15,2,12,6,2,12,24,5,1,1
ELP5,61,10,6,29,8,2,15,4,19,5,22,3,14,13,40,10,29,14,8,27,39,6,4,3
ELP6,49,3,6,33,2,3,17,2,25,4,27,1,19,25,27,6,33,16,8,31,36,10,6,3
ELSPBP1,11,2,1,3,2,1,4,3,8,3,12,1,4,4,15,2,5,5,4,11,22,3,6,3
EMB,21,3,2,7,4,1,12,1,9,4,6,2,11,7,37,1,14,21,5,10,59,5,4,2
EMC1,52,3,3,18,7,5,15,1,18,7,25,1,19,26,31,5,37,8,4,35,49,5,4,3
EMC10,117,10,10,30,10,12,46,11,54,14,43,4,86,64,112,13,143,42,20,127,160,15,21,3
EMC2,66,10,4,36,7,6,15,4,44,8,35,4,14,30,38,9,56,19,9,32,52,15,13,1
EMC3,62,17,7,26,5,9,17,4,24,12,21,3,28,17,41,3,46,27,14,44,57,11,10,2
EMC4,105,9,15,62,7,7,45,7,56,10,28,6,22,26,50,4,46,14,9,42,79,10,7,1
EMC6,24,3,1,14,2,1,10,3,23,1,19,1,8,14,16,5,39,9,5,25,32,7,4,3
EMC7,47,7,9,30,9,12,22,3,30,11,18,2,16,16,33,4,44,13,8,40,57,2,8,1
EMC8,44,4,6,28,2,5,18,4,15,7,23,1,13,14,16,4,35,5,8,32,40,8,6,1
EMC9,31,4,2,15,2,6,8,2,14,10,15,1,9,14,20,7,18,5,7,18,17,5,8,3
EMCN,24,1,2,14,3,2,10,1,11,3,8,3,5,7,16,3,11,5,4,25,26,6,2,2
EMD,45,6,7,20,6,9,12,3,20,3,23,3,24,19,28,7,28,13,9,30,57,9,4,1
EME1,28,6,10,12,1,6,3,1,15,2,8,2,14,12,17,9,16,7,4,18,19,9,6,2
EME2,57,6,3,34,6,4,15,1,37,6,27,1,13,25,27,8,52,5,7,38,30,17,12,3
EMG1,38,1,6,25,1,4,14,2,18,2,13,1,14,13,13,4,25,4,3,13,23,3,3,1
EMID1,25,4,4,12,6,4,3,2,11,2,15,1,12,7,25,5,22,7,1,26,31,9,11,1
EMILIN1,39,5,5,26,3,6,8,4,15,4,11,1,8,23,26,4,38,5,10,14,35,19,12,10
EMILIN2,24,7,5,12,5,2,7,5,10,9,7,2,7,19,34,2,25,24,3,23,45,7,6,2
EMILIN3,14,6,1,9,4,2,5,1,7,3,12,1,7,8,10,5,13,4,4,20,23,8,7,1
EML1,31,4,7,13,2,4,15,4,17,6,13,1,9,13,23,1,31,7,1,18,34,7,3,3
EML2,43,11,3,16,7,3,16,1,25,4,13,4,9,17,22,5,34,12,5,27,30,9,8,4
EML3,51,9,4,30,8,11,12,3,28,7,22,4,12,30,22,9,53,14,6,42,51,10,9,1
EML4,45,8,1,24,2,10,12,1,19,8,22,2,15,16,25,6,23,5,9,28,46,5,7,3
EML5,35,10,5,37,3,4,7,1,23,6,17,1,4,16,18,8,21,6,3,16,27,12,5,6
EML6,23,8,2,5,6,1,5,1,18,6,14,1,5,18,16,1,25,8,6,16,31,10,7,1
EMP1,71,11,13,21,8,5,15,12,27,11,21,1,31,71,91,8,131,31,10,98,100,17,10,5
EMP2,29,7,4,19,12,1,11,4,23,4,9,1,8,21,33,6,57,13,9,27,50,10,11,3
EMP3,28,6,5,16,12,5,8,5,23,11,20,2,24,45,103,16,159,48,13,77,137,25,18,3
EMSY,47,4,4,21,4,4,16,4,14,2,24,1,18,14,16,2,24,7,6,18,26,3,2,1
EMX1,115,6,12,53,10,21,31,4,69,14,50,6,25,36,40,6,73,8,14,56,58,18,13,3
EMX2,19,5,2,5,3,1,5,2,12,2,7,4,2,4,15,1,20,5,2,13,22,3,3,1
EN1,22,6,3,18,8,7,13,2,15,10,26,1,14,16,36,5,39,10,9,30,46,12,13,3
EN2,22,5,4,11,3,1,5,4,10,5,15,2,13,5,8,4,21,6,6,27,21,7,6,1
ENAH,67,9,12,30,7,10,25,6,31,10,36,2,43,52,87,13,72,23,14,63,103,7,5,2
ENAM,19,7,2,12,1,3,8,1,10,1,6,2,9,6,12,1,10,1,1,9,19,8,4,1
ENC1,41,3,10,24,3,10,15,2,14,11,13,5,92,43,48,18,63,17,43,86,82,7,1,1
ENDOD1,25,7,3,6,7,2,6,4,13,3,17,1,10,20,27,3,51,11,12,24,37,13,7,2
ENDOG,33,6,3,25,1,3,12,6,17,6,13,1,9,16,18,3,25,7,3,12,31,8,10,3
ENDOU,22,5,1,9,1,4,8,2,11,7,10,1,10,4,16,4,19,6,1,5,22,9,4,1
ENDOV,40,2,6,21,1,2,11,2,23,3,14,1,10,14,18,5,31,4,1,21,32,9,10,1
ENG,32,8,2,12,8,1,11,5,33,8,21,1,8,27,76,4,30,47,6,44,108,13,6,2
ENGASE,46,5,6,32,1,7,12,1,30,8,20,2,19,18,30,2,44,8,7,25,37,13,10,4
ENHO,103,10,10,56,10,11,28,5,29,8,56,1,22,17,34,7,38,8,7,42,47,34,36,7
ENKD1,26,2,1,18,5,3,7,3,13,3,21,1,10,18,19,2,32,8,2,21,19,7,5,1
ENKUR,26,11,5,15,1,2,6,3,15,3,15,1,6,6,20,1,16,2,4,9,22,7,8,2
ENO1,70,18,12,38,19,12,17,19,36,26,33,12,70,70,158,25,254,109,31,118,213,21,17,1
ENO2,138,10,23,65,10,16,51,5,69,14,58,5,35,53,56,17,114,23,5,63,46,11,11,1
ENO3,103,10,2,16,2,3,7,2,15,7,9,4,9,13,9,2,26,7,2,18,21,6,5,1
ENO4,27,9,4,9,2,1,3,1,12,3,4,1,6,10,18,2,15,5,2,11,21,4,1,2
ENOPH1,75,11,8,42,11,10,28,5,22,10,35,3,23,33,45,7,53,10,5,30,62,12,12,1
ENOSF1,14,7,1,7,1,1,7,2,17,7,5,1,4,6,17,1,14,3,5,12,19,7,10,3
ENOX1,25,8,2,13,6,2,6,2,12,2,14,2,7,8,14,2,13,9,1,9,16,1,2,2
ENOX2,14,4,4,11,1,2,5,2,9,3,4,1,5,7,7,1,12,2,3,15,37,3,2,1
ENPEP,17,3,2,10,3,3,10,2,11,2,22,2,6,7,15,1,14,4,3,12,16,3,5,1
ENPP1,21,2,3,16,3,1,5,3,13,3,10,1,7,5,31,1,17,5,5,22,32,3,5,3
ENPP2,25,3,6,11,5,4,4,3,41,13,15,2,11,21,22,4,21,10,8,22,31,4,5,2
ENPP3,34,6,6,20,2,1,11,1,11,4,6,2,3,5,16,1,24,5,4,14,15,7,7,1
ENPP4,42,9,5,25,5,5,9,1,31,4,25,1,11,27,33,3,41,7,3,30,46,6,1,1
ENPP5,17,6,2,14,2,7,8,1,7,1,8,1,11,7,21,5,19,9,1,8,21,7,3,1
ENPP6,24,2,2,16,2,2,7,1,8,4,16,1,27,27,22,4,34,5,3,30,30,11,11,1
ENPP7,20,1,2,12,1,1,5,1,9,6,14,4,10,3,16,1,18,6,3,14,20,9,5,3
ENSA,79,8,11,39,12,11,22,6,49,9,30,4,25,31,42,6,40,18,8,44,98,15,7,2
ENTHD1,24,4,2,13,1,4,4,1,11,2,6,2,10,7,7,4,19,6,1,9,32,2,3,2
ENTPD1,29,5,1,9,6,1,17,4,12,12,11,4,4,14,36,1,15,15,1,28,70,8,4,2
ENTPD2,28,3,7,16,7,2,11,7,11,8,17,2,6,12,22,3,66,14,5,39,41,11,8,3
ENTPD3,17,7,1,5,1,3,3,1,3,2,4,1,5,5,16,3,13,3,2,13,22,6,7,2
ENTPD4,47,4,7,20,4,4,9,2,24,3,17,1,19,22,22,5,36,5,9,26,21,9,3,2
ENTPD5,32,4,3,15,3,3,8,5,9,6,19,1,13,20,17,1,26,7,5,21,29,4,4,4
ENTPD6,84,9,8,47,7,9,25,3,33,9,40,4,17,34,39,10,89,17,6,52,58,10,11,3
ENTPD7,19,4,1,10,4,1,16,4,12,3,5,3,10,10,13,1,14,8,1,12,21,2,4,1
ENTPD8,31,6,4,15,3,1,7,1,16,6,6,1,5,9,10,1,26,7,1,13,19,19,17,2
ENTR1,67,3,8,36,3,3,20,3,38,9,28,2,16,25,24,4,44,14,7,41,50,13,9,2
ENY2,74,15,5,27,7,10,18,7,34,10,22,4,25,34,69,7,58,28,5,44,91,17,9,4
EOGT,21,7,2,12,1,4,13,1,15,4,15,2,5,15,25,1,14,2,6,31,31,6,2,1
EOLA1,47,3,3,25,2,6,19,1,17,4,19,1,17,17,30,9,49,20,10,34,37,11,5,1
EOMES,103,4,8,52,1,12,34,2,48,5,44,2,26,37,24,4,65,8,7,75,32,15,11,1
EP300,104,8,16,56,7,10,36,7,62,21,46,3,32,42,54,10,57,17,10,67,65,12,8,2
EP400,24,3,2,13,2,3,12,4,19,5,16,1,8,15,18,4,19,3,5,13,18,6,5,1
EPAS1,73,17,4,44,15,6,26,6,74,29,43,5,16,29,50,9,85,18,14,44,63,7,5,2
EPB41,39,3,1,64,7,1,7,1,17,3,16,1,10,17,34,5,22,3,7,18,44,6,6,1
EPB41L1,52,4,4,30,6,2,12,3,18,6,20,10,12,25,25,3,35,8,7,39,46,8,6,1
EPB41L2,30,13,6,25,8,1,8,11,13,14,22,2,74,46,136,5,72,22,12,52,133,10,5,3
EPB41L3,54,9,4,28,6,1,15,4,26,11,11,3,14,7,52,3,29,20,8,27,79,2,9,1
EPB41L4A,19,4,1,13,1,2,6,2,7,3,14,1,10,22,22,2,39,6,4,23,20,4,5,3
EPB41L4B,18,3,3,10,2,8,6,2,6,1,11,2,14,14,6,1,21,4,5,14,20,3,5,4
EPB41L5,43,5,6,21,5,7,15,2,15,4,19,1,14,9,28,3,33,6,1,34,32,1,4,1
EPB42,49,6,4,29,3,3,20,3,29,5,18,2,11,15,12,2,28,7,7,28,28,11,7,1
EPC1,163,13,13,105,7,16,66,9,98,14,59,4,36,55,36,10,96,15,14,97,73,40,22,3
EPC2,47,2,4,27,5,12,15,5,25,5,20,4,5,13,28,8,32,7,2,28,39,2,2,1
EPCAM,25,6,4,15,3,1,7,2,8,1,12,2,5,8,14,2,12,3,4,14,17,7,6,1
EPDR1,44,8,4,21,8,7,18,8,20,16,28,9,18,13,37,7,47,10,9,37,65,12,10,1
EPG5,47,6,3,36,4,6,21,5,24,4,22,2,13,13,30,6,38,10,4,29,42,8,9,1
EPGN,26,7,4,14,2,4,7,1,1,5,10,1,2,7,18,2,16,3,1,10,25,5,5,2
EPHA1,16,6,1,12,1,3,9,1,12,7,14,1,3,8,12,4,14,9,3,13,23,14,8,1
EPHA10,19,4,1,15,3,4,4,1,5,1,6,1,7,1,8,5,15,5,1,12,21,8,6,1
EPHA2,20,4,4,6,1,4,5,2,7,3,6,1,7,8,16,1,12,4,1,12,15,5,3,1
EPHA3,26,8,5,7,5,1,10,3,10,2,12,1,5,11,15,1,13,10,2,34,28,7,5,2
EPHA4,28,3,4,12,8,3,8,1,13,7,8,1,11,22,22,8,76,9,7,41,24,6,7,1
EPHA5,14,4,5,11,5,2,12,1,9,3,5,1,3,6,14,1,14,2,3,12,26,6,6,1
EPHA6,37,6,2,11,5,2,7,1,10,3,12,1,7,6,15,1,21,8,4,12,25,7,3,1
EPHA7,35,8,5,18,4,1,12,3,11,7,20,5,12,21,34,6,54,8,7,20,47,19,8,1
EPHA8,27,6,2,7,3,4,9,2,11,3,10,1,7,7,15,1,18,5,5,11,15,8,11,2
EPHB1,59,9,6,28,5,11,19,8,32,8,30,2,24,27,29,5,52,9,10,38,56,27,22,1
EPHB2,18,5,2,13,5,1,2,2,16,14,12,1,15,24,26,3,26,7,7,29,44,10,12,1
EPHB3,31,3,2,10,2,1,6,1,9,2,14,11,11,14,18,1,23,6,5,17,23,17,7,1
EPHB4,36,3,6,15,4,6,15,1,28,3,13,2,7,12,18,2,39,9,10,29,26,22,7,3
EPHB6,12,4,2,11,3,2,12,2,9,3,8,1,4,6,12,1,22,6,2,24,25,5,9,2
EPHX1,37,10,2,25,8,9,11,6,25,10,15,4,13,16,41,4,35,12,7,38,42,11,7,3
EPHX2,23,6,4,13,5,3,7,2,9,6,9,1,4,16,17,1,28,7,2,16,34,7,3,1
EPHX3,19,9,4,21,4,1,4,4,13,1,13,1,4,9,13,6,27,1,3,7,22,12,10,3
EPHX4,22,4,2,11,2,4,5,3,9,5,7,1,6,4,18,1,17,3,3,12,19,6,6,1
EPM2A,35,8,3,22,1,3,13,1,16,3,18,3,9,20,15,3,23,10,4,27,28,4,5,1
EPM2AIP1,95,7,14,49,10,14,37,2,43,12,39,4,36,32,34,7,56,15,9,47,67,12,4,6
EPN1,64,9,11,26,11,10,22,7,17,17,35,6,44,44,85,11,64,34,13,70,174,17,11,1
