"","logFC","AveExpr","t","P.Value","adj.P.Val","B","label","DEG"
"RPS24",0.351769211322859,8.12424285818441,1.21377296329126,0.229190162668478,0.356889729818156,-5.73689304003828,"","non"
"SEC22C",-0.214163205522431,5.98939811533861,-1.34062048658245,0.1846719824364,0.304722730409359,-5.73689946285786,"","non"
"KLF15",-0.299593502325477,5.58230537289286,-1.35819640700409,0.179058340847924,0.297919652707691,-5.73721464540091,"","non"
"TENT4A",-0.223259970337613,5.61957234463099,-1.34814861056703,0.182251439916981,0.301711081668655,-5.73726304843593,"","non"
"RFX7",0.17633899050396,5.4100618410765,1.33978739844331,0.184941336875914,0.30502529686532,-5.73756443908347,"","non"
"SLC25A42",-0.247235550208659,4.89313290078573,-1.37733469921145,0.173094366840455,0.290451332138158,-5.73785472248828,"","non"
"H2BC13",-0.394294157792662,5.7283895661943,-1.37300882697226,0.174428954167803,0.292239040109453,-5.73839755183138,"","non"
"MYO9B",0.398086696262201,6.66522475397629,1.27558290624199,0.20660549767053,0.33068532503634,-5.7384987747427,"","non"
"CD1A",-0.30776209051641,5.09597261380562,-1.36513135756509,0.176879422756372,0.295298520942482,-5.73857828578929,"","non"
"AMMECR1",-0.25367440944533,4.80265610594162,-1.36778694939507,0.176050424255677,0.29429541349715,-5.7386609843908,"","non"
"PARG",0.226197083524426,5.35526733860093,1.34111624825522,0.184511833563284,0.304565377127503,-5.73869944514229,"","non"
"FBXO41",-0.337866067462415,5.4130666990132,-1.33474249135081,0.186578814470988,0.306763244325474,-5.74049383331844,"","non"
"METAP1",0.20189043906323,5.49783964159248,1.32460794805236,0.18990136825373,0.310928976938861,-5.74051184558412,"","non"
"CLDN6",-0.370279927356211,4.76892643544668,-1.37924389880887,0.172507843704193,0.289807458479611,-5.74087143190599,"","non"
"SLX4",-0.282940329538364,5.01117274050594,-1.37057687265528,0.17518268714959,0.293177063148579,-5.74175343064015,"","non"
"C1orf162",-0.36949259100635,5.2389666596056,-1.39209171484603,0.168600360444817,0.285099572679241,-5.74193228029965,"","non"
"ZNF273",-0.34066538466723,4.86570087870702,-1.38880257186018,0.169594177443474,0.286336480693177,-5.74197921144309,"","non"
"DFFB",-0.326049235015843,4.77944343947678,-1.37607442295487,0.173482369738869,0.290996730609388,-5.74233176519394,"","non"
"H1-6",-0.362585071242711,5.00327046212797,-1.38677913787991,0.170207788270216,0.286996828017361,-5.74306439508729,"","non"
"GREB1L",0.390390076860063,4.6844825120812,1.35684407545267,0.179485604400188,0.298420581302351,-5.74347532820364,"","non"
"TEF",-0.349295965693227,5.08794799059284,-1.37780334973403,0.172950252183996,0.290365083372343,-5.74353038330057,"","non"
"SLC6A20",-0.418960986353588,5.51380394820216,-1.37415869265057,0.174073441162762,0.291785200913002,-5.743590188136,"","non"
"NEK4",-0.183174249332621,6.0452841630707,-1.31503584655985,0.193080293064288,0.314826048987495,-5.7437206459134,"","non"
"PDIA3",-0.200501093767904,6.6601817005584,-1.26214530787941,0.21136928186109,0.336337191917349,-5.74392842145066,"","non"
"TMED7",-0.206176010069645,6.1924325011663,-1.31717664124188,0.19236587857299,0.313949787332892,-5.74428656748657,"","non"
"MKI67",-0.352090645053066,5.5807402171484,-1.3372216675691,0.185772758320806,0.305898766138322,-5.74483449876178,"","non"
"BTG3",0.240790995858302,6.14782717354451,1.27662980095168,0.206237736432967,0.330245710670056,-5.74490211250814,"","non"
"WEE1",-0.274640956067361,5.68886531992302,-1.32522011393646,0.189699415882156,0.310670015229906,-5.74502335026266,"","non"
"CHERP",0.175468833549009,5.51290011594456,1.3309268629155,0.187824553146902,0.308311266150091,-5.74532140998132,"","non"
"FBXO48",-0.310867818685658,4.96722271973241,-1.36432450442797,0.17713188728773,0.295650435093002,-5.7455022628082,"","non"
"CTDSP2",-0.259254954575714,6.31462852949985,-1.296348761983,0.199401308239588,0.322244323759853,-5.74601836214339,"","non"
"EPB41L4B",-0.350380532433737,5.01686817400552,-1.34091913065202,0.184575497049392,0.304598944828312,-5.74625625933996,"","non"
"OR4C3",-0.374774736434816,4.8147137735643,-1.37726346098097,0.17311628133712,0.290451332138158,-5.7465028865389,"","non"
"PRAMEF10",-0.489001556444383,5.04749823352375,-1.38321659680848,0.171292271105418,0.288368853977854,-5.74696394281791,"","non"
"KNSTRN",-0.284816519174111,5.17031287494545,-1.35644773343036,0.179610973825635,0.298559056655568,-5.74734654628666,"","non"
"C1orf53",-0.378086497845513,4.88860833886467,-1.38336405079647,0.171247279486109,0.28833839428366,-5.74802876169792,"","non"
"TADA3",0.231746325564708,5.9958308493758,1.30157022447138,0.197619742745103,0.32029771315411,-5.74827692871097,"","non"
"GID4",-0.268915591153666,5.18205539319495,-1.35604702528501,0.179737792009293,0.298734863631236,-5.74895185807332,"","non"
"ZAR1L",-0.33445947603315,5.33597229253464,-1.34926919070253,0.181893203526377,0.301293796968919,-5.74902986815937,"","non"
"MAN1A1",-0.408667374712048,5.12544341089725,-1.36342125558567,0.177414839730733,0.296044551535692,-5.74984141138232,"","non"
"CIB2",-0.25451473593279,5.11086289877317,-1.36478180205327,0.17698876506311,0.295446304409466,-5.75032645664684,"","non"
"AP1S2",0.379053194528684,6.67308570696798,1.26810393262877,0.209246947140323,0.333896191292628,-5.75035663571812,"","non"
"UBE2T",0.34684790175663,5.50546584634546,1.31116855754852,0.194375915695569,0.316320663815165,-5.75047402216466,"","non"
"AFF1",0.211867879284149,6.11928165594535,1.29524942671074,0.199777927104138,0.322549897573856,-5.75193038309697,"","non"
